t_ms i_pApF mV
21.1999999999971 -1.64358392645493 -75.5385223504058
21.3000000000029 -1.66348382312819 -75.5384746517683
21.3999999999942 -1.69333366813807 -75.5384269531309
21.5 -1.63860889475318 -75.5383792544935
21.6000000000058 -1.67840880316657 -75.538331555856
21.6999999999971 -1.64358392645493 -75.5382838572186
21.8000000000029 -1.69333366813807 -75.5382361585811
21.8999999999942 -1.67840880316657 -75.5381884599437
22 -1.67840880316657 -75.5338478839367
22.1000000000058 -1.72318362821483 -75.5337992586466
22.1999999999971 -1.64855895815669 -75.5337506333565
22.3000000000029 -1.64855895815669 -75.5337020080664
22.3999999999942 -1.69333366813807 -75.5336533827763
22.5 -1.63363397811831 -75.5336047574862
22.6000000000058 -1.63363397811831 -75.5335561321961
22.6999999999971 -1.69830869983982 -75.533507506906
22.8000000000029 -1.6883587515032 -75.5334588816159
22.8999999999942 -1.67840880316657 -75.5334102563258
23 -1.7032836164747 -75.5289853549268
23.1000000000058 -1.6087590497433 -75.528935876972
23.1999999999971 -1.68338371980144 -75.5288863990171
23.3000000000029 -1.69333366813807 -75.5288369210622
23.3999999999942 -1.68338371980144 -75.5287874431073
23.5 -1.66845885482994 -75.5287379651524
23.6000000000058 -1.69333366813807 -75.5286884871976
23.6999999999971 -1.66845885482994 -75.5286390092427
23.8000000000029 -1.67840880316657 -75.5285895312878
23.8999999999942 -1.61870899807993 -75.5285400533329
24 -1.66348382312819 -75.5240375594391
24.1000000000058 -1.66845885482994 -75.5239872977448
24.1999999999971 -1.7032836164747 -75.5239370360506
24.3000000000029 -1.63363397811831 -75.5238867743563
24.3999999999942 -1.65353387479156 -75.523836512662
24.5 -1.71323356481132 -75.5237862509677
24.6000000000058 -1.61870899807993 -75.5237359892734
24.6999999999971 -1.64855895815669 -75.5236857275791
24.8000000000029 -1.6883587515032 -75.5236354658848
24.8999999999942 -1.64358392645493 -75.5235852041905
25 -1.67343377146482 -75.5190113900103
25.1000000000058 -1.64358392645493 -75.5189604087913
25.1999999999971 -1.66348382312819 -75.5189094275724
25.3000000000029 -1.63363397811831 -75.5188584463534
25.3999999999942 -1.65353387479156 -75.5188074651344
25.5 -1.65850890649332 -75.5187564839155
25.6000000000058 -1.66348382312819 -75.5187055026965
25.6999999999971 -1.65353387479156 -75.5186545214776
25.8000000000029 -1.66845885482994 -75.5186035402586
25.8999999999942 -1.65850890649332 -75.5185525590397
26 -1.64855895815669 -75.5139132681148
26.1000000000058 -1.67343377146482 -75.5138616272009
26.1999999999971 -1.71323356481132 -75.5138099862869
26.3000000000029 -1.66348382312819 -75.5137583453729
26.3999999999942 -1.69830869983982 -75.513706704459
26.5 -1.67343377146482 -75.513655063545
26.6000000000058 -1.7281585448497 -75.5136034226311
26.6999999999971 -1.66348382312819 -75.5135517817171
26.8000000000029 -1.63860889475318 -75.5135001408032
26.8999999999942 -1.65850890649332 -75.5134484998892
27 -1.65353387479156 -75.5087491767194
27.1000000000058 -1.65850890649332 -75.5086969318765
27.1999999999971 -1.68338371980144 -75.5086446870335
27.3000000000029 -1.71323356481132 -75.5085924421906
27.3999999999942 -1.66348382312819 -75.5085401973477
27.5 -1.65353387479156 -75.5084879525047
27.6000000000058 -1.71323356481132 -75.5084357076618
27.6999999999971 -1.65850890649332 -75.5083834628189
27.8000000000029 -1.65353387479156 -75.508331217976
27.8999999999942 -1.60378413310843 -75.508278973133
28 -1.64358392645493 -75.5035246924268
28.1000000000058 -1.66845885482994 -75.5034718957341
28.1999999999971 -1.64358392645493 -75.5034190990414
28.3000000000029 -1.67840880316657 -75.5033663023487
28.3999999999942 -1.65850890649332 -75.503313505656
28.5 -1.70825864817645 -75.5032607089633
28.6000000000058 -1.66348382312819 -75.5032079122706
28.6999999999971 -1.6087590497433 -75.5031551155779
28.8000000000029 -1.65850890649332 -75.5031023188852
28.8999999999942 -1.68338371980144 -75.5030495221925
29 -1.65353387479156 -75.4982450231569
29.1000000000058 -1.67343377146482 -75.4981917229824
29.1999999999971 -1.65850890649332 -75.4981384228079
29.3000000000029 -1.68338371980144 -75.4980851226334
29.3999999999942 -1.67343377146482 -75.4980318224589
29.5 -1.69333366813807 -75.4979785222844
29.6000000000058 -1.62865894641655 -75.4979252221099
29.6999999999971 -1.66348382312819 -75.4978719219354
29.8000000000029 -1.66348382312819 -75.4978186217609
29.8999999999942 -1.62368402978168 -75.4977653215864
30 -1.62368402978168 -75.4929150057064
30.1000000000058 -1.65850890649332 -75.4928612470149
30.1999999999971 -1.63860889475318 -75.4928074883234
30.3000000000029 -1.67343377146482 -75.4927537296318
30.3999999999942 -1.64855895815669 -75.4926999709403
30.5 -1.66845885482994 -75.4926462122488
30.6000000000058 -1.62368402978168 -75.4925924535572
30.6999999999971 -1.62865894641655 -75.4925386948657
30.8000000000029 -1.62865894641655 -75.4924849361741
30.8999999999942 -1.64358392645493 -75.4924311774826
31 -1.66845885482994 -75.4875391365527
31.1000000000058 -1.67343377146482 -75.4874849612793
31.1999999999971 -1.65850890649332 -75.487430786006
31.3000000000029 -1.70825864817645 -75.4873766107326
31.3999999999942 -1.68338371980144 -75.4873224354592
31.5 -1.67343377146482 -75.4872682601858
31.6000000000058 -1.72318362821483 -75.4872140849125
31.6999999999971 -1.6883587515032 -75.4871599096391
31.8000000000029 -1.64358392645493 -75.4871057343657
31.8999999999942 -1.60378413310843 -75.4870515590923
32 -1.70825864817645 -75.4821216092152
32.1000000000058 -1.65850890649332 -75.4820670564958
32.1999999999971 -1.71323356481132 -75.4820125037764
32.3000000000029 -1.66845885482994 -75.4819579510569
32.3999999999942 -1.69830869983982 -75.4819033983375
32.5 -1.69830869983982 -75.4818488456181
32.6000000000058 -1.71820859651308 -75.4817942928987
32.6999999999971 -1.61870899807993 -75.4817397401793
32.8000000000029 -1.73810849318633 -75.4816851874599
32.8999999999942 -1.66845885482994 -75.4816306347404
33 -1.73313357655146 -75.4766663372733
33.1000000000058 -1.66348382312819 -75.4766114435787
33.1999999999971 -1.66348382312819 -75.4765565498841
33.3000000000029 -1.68338371980144 -75.4765016561895
33.3999999999942 -1.6883587515032 -75.4764467624949
33.5 -1.64855895815669 -75.4763918688002
33.6000000000058 -1.67343377146482 -75.4763369751056
33.6999999999971 -1.68338371980144 -75.476282081411
33.8000000000029 -1.61373408144505 -75.4762271877164
33.8999999999942 -1.64358392645493 -75.4761722940218
34 -1.7281585448497 -75.4711769678115
34.1000000000058 -1.64855895815669 -75.4711217670878
34.1999999999971 -1.62865894641655 -75.4710665663641
34.3000000000029 -1.63860889475318 -75.4710113656404
34.3999999999942 -1.68338371980144 -75.4709561649167
34.5 -1.68338371980144 -75.470900964193
34.6000000000058 -1.7281585448497 -75.4708457634693
34.6999999999971 -1.6883587515032 -75.4707905627456
34.8000000000029 -1.66348382312819 -75.4707353620219
34.8999999999942 -1.65353387479156 -75.4706801612981
35 -1.67343377146482 -75.4656568954405
35.1000000000058 -1.66348382312819 -75.4656014192783
35.1999999999971 -1.64855895815669 -75.465545943116
35.3000000000029 -1.63860889475318 -75.4654904669538
35.3999999999942 -1.64855895815669 -75.4654349907915
35.5 -1.62865894641655 -75.4653795146293
35.6000000000058 -1.7281585448497 -75.4653240384671
35.6999999999971 -1.64358392645493 -75.4652685623048
35.8000000000029 -1.67343377146482 -75.4652130861426
35.8999999999942 -1.5938341847718 -75.4651576099803
36 -1.65353387479156 -75.4601092792166
36.1000000000058 -1.63363397811831 -75.4600535570198
36.1999999999971 -1.66348382312819 -75.4599978348231
36.3000000000029 -1.68338371980144 -75.4599421126264
36.3999999999942 -1.61870899807993 -75.4598863904297
36.5 -1.64358392645493 -75.459830668233
36.6000000000058 -1.66348382312819 -75.4597749460363
36.6999999999971 -1.64358392645493 -75.4597192238396
36.8000000000029 -1.67840880316657 -75.4596635016429
36.8999999999942 -1.70825864817645 -75.4596077794462
37 -1.60378413310843 -75.454537059546
37.1000000000058 -1.66348382312819 -75.4544811186804
37.1999999999971 -1.65850890649332 -75.4544251778147
37.3000000000029 -1.7032836164747 -75.4543692369491
37.3999999999942 -1.64358392645493 -75.4543132960835
37.5 -1.69830869983982 -75.4542573552179
37.6000000000058 -1.63363397811831 -75.4542014143523
37.6999999999971 -1.67840880316657 -75.4541454734867
37.8000000000029 -1.64358392645493 -75.4540895326211
37.8999999999942 -1.64855895815669 -75.4540335917554
38 -1.63363397811831 -75.4489429729847
38.1000000000058 -1.69333366813807 -75.4488868389068
38.1999999999971 -1.63363397811831 -75.4488307048289
